lepton pT,lepton eta,lepton phi,missing energy magnitude,missing energy phi,jet 1 pt,jet 1 eta,jet 1 phi,jet 1 b-tag,jet 2 pt,jet 2 eta,jet 2 phi,jet 2 b-tag,jet 3 pt,jet 3 eta,jet 3 phi,jet 3 b-tag,jet 4 pt,jet 4 eta,jet 4 phi,jet 4 b-tag,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb,class
5.814198851585388184e-01,-1.568631231784820557e-01,-8.253225088119506836e-01,2.329802036285400391e+00,7.340188603848218918e-03,6.723969578742980957e-01,-9.961967468261718750e-01,-8.281812071800231934e-01,2.173076152801513672e+00,6.277548670768737793e-01,9.918328523635864258e-01,1.390857815742492676e+00,0.000000000000000000e+00,4.343115687370300293e-01,4.744125008583068848e-01,2.107049673795700073e-01,2.548224449157714844e+00,5.995118021965026855e-01,1.977512389421463013e-01,-7.116641402244567871e-01,0.000000000000000000e+00,8.230159282684326172e-01,1.133835792541503906e+00,1.100284695625305176e+00,5.714995861053466797e-01,7.834669351577758789e-01,7.088956832885742188e-01,7.455034852027893066e-01,0.000000000000000000e+00
1.204931855201721191e+00,-7.237129211425781250e-01,2.068249881267547607e-01,5.822735428810119629e-01,-1.656790971755981445e+00,7.960667014122009277e-01,4.000274538993835449e-01,4.237036406993865967e-01,2.173076152801513672e+00,7.600793838500976562e-01,-1.197643399238586426e+00,1.701562523841857910e+00,2.214872121810913086e+00,8.457923531532287598e-01,-4.886306226253509521e-01,-1.500204086303710938e+00,0.000000000000000000e+00,9.804439544677734375e-01,-1.716909408569335938e+00,-1.367570161819458008e+00,0.000000000000000000e+00,8.508576154708862305e-01,5.799599289894104004e-01,1.153704643249511719e+00,9.332628846168518066e-01,1.477931976318359375e+00,1.006998538970947266e+00,8.662000894546508789e-01,1.000000000000000000e+00
1.030890226364135742e+00,8.570383787155151367e-01,-9.840127825736999512e-01,9.335460066795349121e-01,1.269953727722167969e+00,1.078583359718322754e+00,3.416038751602172852e-01,4.026373922824859619e-01,0.000000000000000000e+00,5.031103491783142090e-01,-1.151988863945007324e+00,-7.936125993728637695e-01,0.000000000000000000e+00,9.711859822273254395e-01,-1.712183095514774323e-02,1.720139622688293457e+00,1.274112224578857422e+00,1.162999391555786133e+00,3.368327319622039795e-01,-1.460795402526855469e+00,3.101961374282836914e+00,1.125785350799560547e+00,1.002558469772338867e+00,1.217432975769042969e+00,7.656366825103759766e-01,2.803637385368347168e-01,7.133483290672302246e-01,7.137715220451354980e-01,0.000000000000000000e+00
2.156396150588989258e+00,-7.310181856155395508e-02,-6.222432255744934082e-01,2.510085344314575195e+00,-2.392159700393676758e-01,1.405254602432250977e+00,-1.100170731544494629e+00,1.424905419349670410e+00,2.173076152801513672e+00,1.016041159629821777e+00,-1.524024963378906250e+00,1.184461116790771484e+00,0.000000000000000000e+00,1.173326134681701660e+00,9.049601554870605469e-01,6.123333573341369629e-01,0.000000000000000000e+00,1.168597698211669922e+00,-5.417957901954650879e-01,-9.519410729408264160e-01,3.101961374282836914e+00,2.903356075286865234e+00,1.805754899978637695e+00,1.093485236167907715e+00,2.364183902740478516e+00,1.182628393173217773e+00,1.492956638336181641e+00,1.577185392379760742e+00,0.000000000000000000e+00
6.299172639846801758e-01,3.018761575222015381e-01,2.040506899356842041e-01,6.562027931213378906e-01,-6.006206870079040527e-01,1.036260843276977539e+00,-1.081356406211853027e+00,1.514159917831420898e+00,0.000000000000000000e+00,7.299884557723999023e-01,-5.827639698982238770e-01,-2.853856682777404785e-01,2.214872121810913086e+00,6.134453415870666504e-01,-8.809478282928466797e-01,1.063333153724670410e+00,0.000000000000000000e+00,9.991863369941711426e-01,9.506234526634216309e-01,2.889477312564849854e-01,3.101961374282836914e+00,1.061476707458496094e+00,1.181802153587341309e+00,9.917055964469909668e-01,8.232743740081787109e-01,8.495427966117858887e-01,1.004512071609497070e+00,8.634177446365356445e-01,1.000000000000000000e+00
3.954826593399047852e-01,-2.259661674499511719e+00,1.097242534160614014e-01,3.691685199737548828e-01,9.265965223312377930e-02,1.196573376655578613e+00,-1.128887414932250977e+00,1.183752179145812988e+00,2.173076152801513672e+00,1.685344219207763672e+00,-3.923746943473815918e-01,-7.137170433998107910e-01,2.214872121810913086e+00,1.423235297203063965e+00,-4.003365337848663330e-01,1.076646804809570312e+00,0.000000000000000000e+00,4.744005203247070312e-01,9.914318323135375977e-01,-4.869219660758972168e-01,0.000000000000000000e+00,8.481128811836242676e-01,7.715305685997009277e-01,9.910902976989746094e-01,9.363058209419250488e-01,2.213354349136352539e+00,1.123501539230346680e+00,9.314766526222229004e-01,0.000000000000000000e+00
7.166635990142822266e-01,2.025313675403594971e-01,2.112638801336288452e-01,9.184725880622863770e-01,-1.599431157112121582e+00,1.196573376655578613e+00,-4.386972784996032715e-01,-1.732367396354675293e+00,2.173076152801513672e+00,1.026617169380187988e+00,1.981662392616271973e+00,8.154993057250976562e-01,0.000000000000000000e+00,1.203533053398132324e+00,-1.645821034908294678e-01,-4.101464748382568359e-01,0.000000000000000000e+00,2.085755825042724609e+00,-9.831921458244323730e-01,-2.433155924081802368e-01,3.101961374282836914e+00,2.764329910278320312e+00,2.617850303649902344e+00,1.121960163116455078e+00,1.080038905143737793e+00,1.746538400650024414e+00,2.010728359222412109e+00,1.502982974052429199e+00,1.000000000000000000e+00
1.103910803794860840e+00,2.892145514488220215e-01,4.487445354461669922e-01,2.664152622222900391e+00,1.033415913581848145e+00,1.238254785537719727e+00,7.485883831977844238e-01,-1.192960143089294434e+00,0.000000000000000000e+00,2.400350093841552734e+00,-1.413288354873657227e+00,-1.644327789545059204e-01,0.000000000000000000e+00,1.508411645889282227e+00,5.572450757026672363e-01,1.616958975791931152e+00,2.548224449157714844e+00,1.093141555786132812e+00,1.229619145393371582e+00,1.312760472297668457e+00,3.101961374282836914e+00,6.228739619255065918e-01,2.383772611618041992e+00,1.195517897605895996e+00,9.100254774093627930e-01,5.118415355682373047e-01,1.841147899627685547e+00,1.689519166946411133e+00,0.000000000000000000e+00
5.956946015357971191e-01,-3.253597319126129150e-01,-8.785891532897949219e-01,1.426883935928344727e+00,1.146753430366516113e+00,8.463590741157531738e-01,-1.495501548051834106e-01,-1.707974910736083984e+00,0.000000000000000000e+00,7.983540892601013184e-01,1.330842256546020508e+00,-3.785970807075500488e-01,2.214872121810913086e+00,1.488917708396911621e+00,9.941644072532653809e-01,5.640713572502136230e-01,2.548224449157714844e+00,4.804857075214385986e-01,-1.577827930450439453e+00,-4.752688407897949219e-01,0.000000000000000000e+00,9.889839887619018555e-01,1.263766407966613770e+00,1.236062526702880859e+00,1.162046074867248535e+00,8.849940896034240723e-01,1.003821969032287598e+00,9.529356360435485840e-01,1.000000000000000000e+00
9.082741737365722656e-01,-8.464330434799194336e-01,1.457902342081069946e-01,3.191722929477691650e-01,-1.728780746459960938e+00,4.473180472850799561e-01,-1.057590842247009277e+00,-8.697593808174133301e-01,2.173076152801513672e+00,3.848869800567626953e-01,-6.789299249649047852e-01,1.733187794685363770e+00,0.000000000000000000e+00,5.560171604156494141e-01,-1.732940673828125000e+00,-9.021995067596435547e-01,0.000000000000000000e+00,1.243323802947998047e+00,-5.367988348007202148e-01,1.047512531280517578e+00,3.101961374282836914e+00,6.694269180297851562e-01,6.750913262367248535e-01,9.874941110610961914e-01,6.570416092872619629e-01,7.973653674125671387e-01,5.759266614913940430e-01,5.248772501945495605e-01,0.000000000000000000e+00
8.090831637382507324e-01,-8.357193470001220703e-01,-4.263744354248046875e-01,1.372445106506347656e+00,3.977468013763427734e-01,8.948193192481994629e-01,-1.751742124557495117e+00,-1.411384105682373047e+00,0.000000000000000000e+00,8.642016053199768066e-01,-6.964146494865417480e-01,4.798272848129272461e-01,0.000000000000000000e+00,1.268688559532165527e+00,2.341067939996719360e-01,3.732424080371856689e-01,2.548224449157714844e+00,1.622065186500549316e+00,-6.483971476554870605e-01,1.498656034469604492e+00,0.000000000000000000e+00,8.872379064559936523e-01,9.337670803070068359e-01,9.878440499305725098e-01,7.980287075042724609e-01,1.254976749420166016e+00,8.349820971488952637e-01,7.113860845565795898e-01,1.000000000000000000e+00
1.874562144279479980e+00,-1.313937902450561523e+00,-4.940674901008605957e-01,7.162765860557556152e-01,1.615494728088378906e+00,1.124661803245544434e+00,-9.348024725914001465e-01,1.516377329826354980e+00,0.000000000000000000e+00,1.797775983810424805e+00,-9.178878068923950195e-01,-1.629349775612354279e-02,2.214872121810913086e+00,1.898466587066650391e+00,-2.080655574798583984e+00,1.205345273017883301e+00,0.000000000000000000e+00,7.122093439102172852e-01,7.532443404197692871e-01,-7.593865990638732910e-01,0.000000000000000000e+00,1.890000224113464355e+00,1.177561521530151367e+00,1.518404364585876465e+00,1.173342108726501465e+00,5.112560987472534180e-01,1.120467782020568848e+00,1.051770329475402832e+00,0.000000000000000000e+00
4.534965455532073975e-01,-1.216541051864624023e+00,6.379522681236267090e-01,1.984284758567810059e+00,-1.245878785848617554e-01,1.441805958747863770e+00,-7.753754854202270508e-01,-1.697996139526367188e+00,2.173076152801513672e+00,5.976639389991760254e-01,-1.461856961250305176e+00,-4.357445836067199707e-01,0.000000000000000000e+00,3.858400583267211914e-01,-2.874657213687896729e-01,-2.492732405662536621e-01,2.548224449157714844e+00,6.686394214630126953e-01,1.047230958938598633e+00,7.450854778289794922e-01,0.000000000000000000e+00,1.215953946113586426e+00,6.896053552627563477e-01,9.921293258666992188e-01,1.554106116294860840e+00,9.232739210128784180e-01,9.751669168472290039e-01,8.572645187377929688e-01,1.000000000000000000e+00
3.874302506446838379e-01,8.521685004234313965e-01,9.608814716339111328e-01,1.889796733856201172e+00,-1.251203775405883789e+00,9.118582606315612793e-01,9.268297553062438965e-01,3.998655080795288086e-01,0.000000000000000000e+00,7.459782361984252930e-01,-2.295295715332031250e+00,8.676533102989196777e-01,0.000000000000000000e+00,8.538709282875061035e-01,7.392948269844055176e-01,-1.312148809432983398e+00,2.548224449157714844e+00,1.293952465057373047e+00,-4.235348701477050781e-01,-6.478492617607116699e-01,3.101961374282836914e+00,4.447284698486328125e+00,2.522779941558837891e+00,1.081707954406738281e+00,5.393073558807373047e-01,7.280856370925903320e-01,1.646728396415710449e+00,1.502994656562805176e+00,1.000000000000000000e+00
7.937104105949401855e-01,-1.092847108840942383e+00,7.650154829025268555e-01,8.607729673385620117e-01,1.692468404769897461e+00,6.918177008628845215e-01,-8.684570789337158203e-01,-7.899293303489685059e-01,0.000000000000000000e+00,9.519563317298889160e-01,-5.885921716690063477e-01,7.258218526840209961e-02,1.107436060905456543e+00,8.673937916755676270e-01,-4.030672907829284668e-01,-1.709339380264282227e+00,2.548224449157714844e+00,5.481529235839843750e-01,-1.411263346672058105e+00,1.394332647323608398e+00,0.000000000000000000e+00,9.530131220817565918e-01,9.102151393890380859e-01,9.936522841453552246e-01,5.857412219047546387e-01,9.682457447052001953e-01,6.852375864982604980e-01,6.640803813934326172e-01,0.000000000000000000e+00
4.150646328926086426e-01,-7.967606186866760254e-01,3.882646262645721436e-01,9.714272022247314453e-01,-9.416161775588989258e-01,6.010349392890930176e-01,-1.110073208808898926e+00,1.661623716354370117e+00,2.173076152801513672e+00,3.537888228893280029e-01,-3.321495354175567627e-01,-9.800353646278381348e-01,2.214872121810913086e+00,7.096858024597167969e-01,6.837696433067321777e-01,-8.562687039375305176e-02,0.000000000000000000e+00,1.086569547653198242e+00,-6.550597548484802246e-01,1.137408256530761719e+00,0.000000000000000000e+00,1.191631197929382324e+00,1.065239191055297852e+00,9.869978427886962891e-01,6.136199831962585449e-01,5.400943756103515625e-01,6.643783450126647949e-01,7.160337567329406738e-01,0.000000000000000000e+00
7.622328996658325195e-01,-6.623529195785522461e-01,-3.414806425571441650e-01,8.665247559547424316e-01,-1.232189416885375977e+00,1.183931708335876465e+00,7.028088718652725220e-02,9.974821209907531738e-01,0.000000000000000000e+00,1.288370490074157715e+00,-4.170879721641540527e-02,-2.572543919086456299e-02,2.214872121810913086e+00,8.898732662200927734e-01,-3.885032832622528076e-01,-9.432498812675476074e-01,2.548224449157714844e+00,4.425142109394073486e-01,-2.079187631607055664e+00,-1.340934514999389648e+00,0.000000000000000000e+00,2.073201894760131836e+00,1.430816888809204102e+00,9.882997870445251465e-01,1.052718400955200195e+00,8.657159209251403809e-01,1.098478198051452637e+00,9.966163039207458496e-01,1.000000000000000000e+00
6.602968573570251465e-01,-1.062654018402099609e+00,8.876398205757141113e-01,1.492085814476013184e+00,-1.567362904548645020e+00,1.609447240829467773e+00,-3.436352312564849854e-01,1.638339877128601074e+00,0.000000000000000000e+00,3.098107576370239258e+00,1.817071437835693359e-01,-1.916200071573257446e-01,0.000000000000000000e+00,1.284670114517211914e+00,-7.298465371131896973e-01,-1.469138979911804199e+00,0.000000000000000000e+00,1.427339553833007812e+00,1.552772521972656250e-01,4.987044930458068848e-01,3.101961374282836914e+00,1.045595645904541016e+00,1.128977417945861816e+00,1.102618217468261719e+00,1.041837453842163086e+00,2.176883816719055176e-01,9.222648739814758301e-01,8.661394715309143066e-01,1.000000000000000000e+00
7.402718067169189453e-01,1.688807725906372070e+00,5.752528905868530273e-01,6.062907353043556213e-02,1.085053563117980957e+00,1.110829114913940430e+00,1.019682437181472778e-01,-1.122554540634155273e+00,2.173076152801513672e+00,2.543250620365142822e-01,-7.279275357723236084e-02,-7.913932204246520996e-01,0.000000000000000000e+00,5.964100360870361328e-01,1.230829119682312012e+00,-1.386483430862426758e+00,2.548224449157714844e+00,1.332410812377929688e+00,6.891170144081115723e-01,8.233280777931213379e-01,0.000000000000000000e+00,8.493295907974243164e-01,8.183227181434631348e-01,9.850216507911682129e-01,1.107333660125732422e+00,7.161378860473632812e-01,8.063478469848632812e-01,7.499008774757385254e-01,1.000000000000000000e+00
5.457330942153930664e-01,1.629395604133605957e+00,-8.919057846069335938e-01,7.759999632835388184e-01,6.368255615234375000e-01,9.151561260223388672e-01,2.356492877006530762e-01,-3.619487583637237549e-01,0.000000000000000000e+00,1.244304299354553223e+00,8.111572265625000000e-01,-1.128729939460754395e+00,1.107436060905456543e+00,2.482934474945068359e+00,1.057617366313934326e-01,1.015625953674316406e+00,0.000000000000000000e+00,1.357725024223327637e+00,9.631158113479614258e-01,1.071373701095581055e+00,3.101961374282836914e+00,2.570147275924682617e+00,1.630506992340087891e+00,9.851051568984985352e-01,1.085740566253662109e+00,1.091673374176025391e+00,1.265497803688049316e+00,1.231623530387878418e+00,1.000000000000000000e+00
1.861385464668273926e+00,9.222943186759948730e-01,7.365827262401580811e-02,2.087877988815307617e+00,1.796978563070297241e-01,2.815364360809326172e+00,-9.823334813117980957e-01,-1.195177674293518066e+00,0.000000000000000000e+00,1.856698870658874512e+00,1.817071437835693359e-01,8.021834492683410645e-01,2.214872121810913086e+00,1.049864292144775391e+00,4.750582575798034668e-02,-1.698799371719360352e+00,2.548224449157714844e+00,6.873818039894104004e-01,1.272093176841735840e+00,4.559762775897979736e-01,0.000000000000000000e+00,1.709181904792785645e+00,1.155612349510192871e+00,1.005963921546936035e+00,1.238699913024902344e+00,1.154935717582702637e+00,1.105931997299194336e+00,1.076308965682983398e+00,1.000000000000000000e+00
3.101089000701904297e+00,1.343535333871841431e-01,8.909689784049987793e-01,4.801113009452819824e-01,4.886012375354766846e-01,1.604408740997314453e+00,-1.028874278068542480e+00,-1.405840396881103516e+00,0.000000000000000000e+00,1.633472084999084473e+00,1.545086801052093506e-01,-8.485407233238220215e-01,2.214872121810913086e+00,1.099038362503051758e+00,1.640176624059677124e-01,-2.365143299102783203e-01,0.000000000000000000e+00,2.687701702117919922e+00,5.242179632186889648e-01,4.321150481700897217e-01,0.000000000000000000e+00,8.544655442237854004e-01,8.114107251167297363e-01,9.796506762504577637e-01,6.855044364929199219e-01,1.032195568084716797e+00,1.108049750328063965e+00,9.458634853363037109e-01,1.000000000000000000e+00
7.660760879516601562e-01,5.989366173744201660e-01,1.443610906600952148e+00,1.308014392852783203e+00,-1.027741909027099609e+00,4.963279068470001221e-01,1.650687932968139648e+00,-1.839942932128906250e-01,2.173076152801513672e+00,3.648683428764343262e-01,2.351755857467651367e+00,-3.142368197441101074e-01,0.000000000000000000e+00,9.371154904365539551e-01,1.233559846878051758e+00,7.410319447517395020e-01,2.548224449157714844e+00,4.503032267093658447e-01,-1.695255994796752930e+00,6.879295110702514648e-01,0.000000000000000000e+00,2.458568334579467773e+00,1.573063135147094727e+00,1.099584579467773438e+00,9.266799092292785645e-01,6.429527997970581055e-01,1.065099835395812988e+00,9.579919576644897461e-01,1.000000000000000000e+00
5.215759277343750000e-01,-1.653853058815002441e+00,-5.617633461952209473e-01,1.118127584457397461e+00,-5.097279548645019531e-01,7.569504380226135254e-01,-3.782932758331298828e-01,9.115539193153381348e-01,0.000000000000000000e+00,1.118904471397399902e+00,-8.741759657859802246e-01,-1.330687880516052246e+00,2.214872121810913086e+00,3.953236341476440430e-01,-3.375293612480163574e-01,-1.549020886421203613e+00,2.548224449157714844e+00,9.132636189460754395e-01,-1.118109583854675293e+00,5.530858635902404785e-01,0.000000000000000000e+00,7.518516182899475098e-01,1.166692733764648438e+00,9.751075506210327148e-01,5.867709517478942871e-01,2.343165874481201172e-01,6.877092719078063965e-01,7.202982306480407715e-01,0.000000000000000000e+00
1.494452357292175293e+00,-3.414306417107582092e-02,-2.682394981384277344e-01,9.333879947662353516e-01,-9.100307822227478027e-01,1.080049157142639160e+00,-5.448808148503303528e-02,-1.469039201736450195e+00,1.086538076400756836e+00,1.102033257484436035e+00,1.337641835212707520e+00,6.834498047828674316e-01,2.214872121810913086e+00,4.283404350280761719e-01,2.135616302490234375e+00,1.067770957946777344e+00,0.000000000000000000e+00,7.801198959350585938e-01,1.227953553199768066e+00,-7.810281515121459961e-01,0.000000000000000000e+00,8.705427646636962891e-01,1.046918630599975586e+00,9.895439743995666504e-01,1.468277215957641602e+00,1.950120449066162109e+00,1.264486551284790039e+00,1.017392992973327637e+00,1.000000000000000000e+00
3.920054733753204346e-01,-9.077930450439453125e-01,9.680947065353393555e-01,2.634672403335571289e+00,1.902818232774734497e-01,1.102767705917358398e+00,-1.443780541419982910e+00,-3.115006089210510254e-01,1.086538076400756836e+00,1.186010956764221191e+00,-2.447258979082107544e-01,-1.499356269836425781e+00,0.000000000000000000e+00,1.811534166336059570e+00,-7.990254759788513184e-01,-1.680493116378784180e+00,2.548224449157714844e+00,1.244784116744995117e+00,2.826991975307464600e-01,1.369361519813537598e+00,0.000000000000000000e+00,9.614239335060119629e-01,8.620261549949645996e-01,9.832309484481811523e-01,1.174433231353759766e+00,1.740707397460937500e+00,1.249353051185607910e+00,1.227716922760009766e+00,0.000000000000000000e+00
8.866790533065795898e-01,1.620630025863647461e+00,-1.566062331199645996e+00,9.452556967735290527e-01,7.388077974319458008e-01,1.234132409095764160e+00,7.218521237373352051e-01,-3.486760705709457397e-02,1.086538076400756836e+00,7.168945074081420898e-01,6.625370979309082031e-01,-1.523213863372802734e+00,0.000000000000000000e+00,3.206845521926879883e-01,9.450109601020812988e-01,1.583120107650756836e+00,0.000000000000000000e+00,4.072201550006866455e-01,-5.018202662467956543e-01,-1.652240037918090820e+00,3.101961374282836914e+00,2.795346379280090332e-01,1.108419537544250488e+00,1.108971834182739258e+00,7.942070960998535156e-01,9.188967943191528320e-01,8.815457820892333984e-01,7.559348344802856445e-01,1.000000000000000000e+00
2.787228524684906006e-01,-1.778521060943603516e+00,-5.239795148372650146e-02,1.790755987167358398e+00,5.325915217399597168e-01,9.308209419250488281e-01,8.565234541893005371e-01,1.699875593185424805e+00,1.086538076400756836e+00,1.675020098686218262e+00,-3.778040707111358643e-01,-7.936125993728637695e-01,0.000000000000000000e+00,6.361005306243896484e-01,1.061522841453552246e+00,5.230209231376647949e-01,2.548224449157714844e+00,5.486397147178649902e-01,2.452221661806106567e-01,-1.045721173286437988e+00,0.000000000000000000e+00,5.177593827247619629e-01,1.065740108489990234e+00,9.856407046318054199e-01,1.440178155899047852e+00,8.496297597885131836e-01,9.863862395286560059e-01,1.029505848884582520e+00,1.000000000000000000e+00
